site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
Andros,455,2016,18.5,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,455,2016,18.5,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,251,2016,18.68,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,251,2016,18.68,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Conception,255,2016,20.16,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
Andros,489,2016,21.5,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3318,2016,23.3,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Bimini,22429,2016,3.54,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22431,2016,4.54,12,1,Dasyatidae,Hypanus,americanus,Southern stingray
Bimini,22431,2016,4.54,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22426,2016,4.94,12,2,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22425,2016,5.03,12,1,Dasyatidae,Hypanus,americanus,Southern stingray
Bimini,22423,2016,5.03,12,1,Dasyatidae,Hypanus,americanus,Southern stingray
Bimini,22425,2016,5.03,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22430,2016,5.21,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22427,2016,6.8,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22424,2016,6.89,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22424,2016,6.89,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22442,2016,10.79,12,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22442,2016,10.79,12,1,Dasyatidae,Hypanus,americanus,Southern stingray
Bimini,22451,2016,11.61,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22441,2016,11.89,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22444,2016,13.2,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22439,2016,13.29,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22449,2016,13.66,12,1,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
Bimini,22446,2016,13.75,12,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22465,2016,14.87,12,1,Selachimorpha,Unknown,sp.,Unknown Shark
Bimini,22457,2016,15.15,12,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Bimini,22447,2016,15.33,12,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22447,2016,15.33,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22464,2016,15.61,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22461,2016,15.7,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22438,2016,16.43,12,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22460,2016,17.19,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22456,2016,18.59,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22455,2016,18.59,12,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22458,2016,18.59,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22456,2016,18.59,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22428,2016,23.16,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22435,2016,28.65,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22434,2016,29.87,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22420,2016,29.87,12,1,Dasyatidae,Hypanus,americanus,Southern stingray
Bimini,22433,2016,32.61,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22419,2016,32.61,12,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22419,2016,32.61,12,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22422,2016,36.27,12,2,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
